"DMD_1" "DMD_2" "DMD_3" "UIC_1" "UIC_2" "UIC_3"
"ENSDARG00000000001" 148 136 151 154 176 124
"ENSDARG00000000002" 241 180 241 248 184 217
"ENSDARG00000000018" 1128 909 1088 1155 1277 959
"ENSDARG00000000019" 3124 2868 3597 3052 3462 2788
"ENSDARG00000000068" 1003 1000 1070 1126 1254 1081
"ENSDARG00000000069" 2137 1868 2015 1973 2138 1951
"ENSDARG00000000086" 891 813 1043 903 975 800
"ENSDARG00000000103" 3568 2828 3270 3399 3279 2605
"ENSDARG00000000142" 257 265 301 209 300 264
"ENSDARG00000000151" 194 159 188 245 268 209
"ENSDARG00000000161" 372 382 434 409 580 386
"ENSDARG00000000175" 208 185 220 182 186 203
"ENSDARG00000000183" 830 887 973 867 1109 813
"ENSDARG00000000189" 922 764 904 851 869 761
"ENSDARG00000000212" 9224 6847 6467 8138 11273 6962
"ENSDARG00000000229" 671 768 789 648 688 688
"ENSDARG00000000241" 2403 2183 2322 2118 2598 1964
"ENSDARG00000000324" 442 365 408 487 500 391
"ENSDARG00000000349" 22 23 25 15 11 25
"ENSDARG00000000369" 203 264 203 255 224 273
"ENSDARG00000000370" 1308 1407 1535 1665 1970 1465
"ENSDARG00000000380" 400 665 647 620 758 631
"ENSDARG00000000394" 2336 1852 1944 2312 2524 2083
"ENSDARG00000000423" 178 135 148 212 155 127
"ENSDARG00000000442" 572 529 606 384 502 474
"ENSDARG00000000460" 4 1 2 0 0 0
"ENSDARG00000000472" 340 297 392 487 401 307
"ENSDARG00000000474" 17 17 16 13 15 13
"ENSDARG00000000476" 106 101 133 140 133 98
"ENSDARG00000000489" 901 762 970 928 1142 932
"ENSDARG00000000503" 5642 6023 7073 6381 8117 6854
"ENSDARG00000000516" 28 15 38 15 47 18
"ENSDARG00000000529" 245 181 202 235 283 212
"ENSDARG00000000540" 540 558 582 513 539 473
"ENSDARG00000000542" 489 387 397 447 438 390
"ENSDARG00000000551" 716 516 607 548 473 573
"ENSDARG00000000563" 50073 37162 31667 54041 50863 32831
"ENSDARG00000000567" 1239 939 1050 1034 1181 1007
"ENSDARG00000000568" 807 871 957 958 986 808
"ENSDARG00000000588" 150 133 132 137 164 96
"ENSDARG00000000606" 137 117 115 129 110 118
"ENSDARG00000000631" 1313 1208 1410 1152 1262 1182
"ENSDARG00000000638" 0 0 0 0 0 0
"ENSDARG00000000651" 76 48 63 86 102 60
"ENSDARG00000000656" 4 8 22 3 18 4
"ENSDARG00000000666" 1052 946 966 906 1025 966
"ENSDARG00000000690" 501 471 527 333 282 384
"ENSDARG00000000729" 426 370 360 421 385 358
"ENSDARG00000000730" 527 470 476 559 527 439
"ENSDARG00000000747" 82 85 65 83 84 84
"ENSDARG00000000760" 117 120 118 133 135 107
"ENSDARG00000000767" 146 66 91 49 49 31
"ENSDARG00000000779" 900 735 778 775 940 700
"ENSDARG00000000796" 1932 2072 1599 2409 3199 1168
"ENSDARG00000000804" 329 299 302 329 267 287
"ENSDARG00000000830" 304 266 301 277 292 268
"ENSDARG00000000837" 610 527 555 485 705 469
"ENSDARG00000000853" 1667 1485 1720 1390 2066 1546
"ENSDARG00000000857" 1018 899 954 1039 906 842
"ENSDARG00000000861" 3564 3246 3683 3802 3358 3110
"ENSDARG00000000887" 143 125 120 73 80 69
"ENSDARG00000000906" 168 122 139 119 134 91
"ENSDARG00000000935" 246 217 279 218 299 208
"ENSDARG00000000943" 478 392 415 480 538 381
"ENSDARG00000000966" 3060 3056 3542 3613 3691 3040
"ENSDARG00000001014" 2806 2049 2438 3042 2454 2023
"ENSDARG00000001015" 969 961 1154 913 1067 865
"ENSDARG00000001057" 1384 1466 1571 1365 1696 1204
"ENSDARG00000001127" 560 508 691 616 694 644
"ENSDARG00000001129" 1365 1355 1509 1576 1445 1229
"ENSDARG00000001154" 329 497 600 475 645 510
"ENSDARG00000001162" 1577 1393 1431 1586 1662 1408
"ENSDARG00000001169" 199 181 182 168 175 198
"ENSDARG00000001210" 497 468 508 463 469 410
"ENSDARG00000001220" 2647 2458 2796 2907 2973 2418
"ENSDARG00000001234" 394 307 304 369 406 373
"ENSDARG00000001241" 2475 2322 2698 2313 2438 2166
"ENSDARG00000001244" 4089 3791 4228 4354 4871 4007
